===== BMS 电池安全监测日志 =====
[2025-12-19 18:50:05] PACK 总电压:  44.47 V | 电池电流: 放电   1.88 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:11] PACK 总电压:  44.39 V | 电池电流: 放电   2.07 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:16] PACK 总电压:  44.48 V | 电池电流: 放电   1.75 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:21] PACK 总电压:  44.45 V | 电池电流: 放电   2.05 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:26] PACK 总电压:  44.44 V | 电池电流: 放电   2.01 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:31] PACK 总电压:  44.41 V | 电池电流: 放电   1.76 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:36] PACK 总电压:  44.43 V | 电池电流: 放电   2.07 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:41] PACK 总电压:  44.41 V | 电池电流: 放电   1.79 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:46] PACK 总电压:  44.36 V | 电池电流: 放电   2.00 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:51] PACK 总电压:  44.39 V | 电池电流: 放电   1.76 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:56] PACK 总电压:  44.36 V | 电池电流: 放电   2.03 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:01] PACK 总电压:  44.36 V | 电池电流: 放电   1.91 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:06] PACK 总电压:  44.35 V | 电池电流: 放电   1.81 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:12] PACK 总电压:  44.34 V | 电池电流: 放电   1.83 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:17] PACK 总电压:  44.36 V | 电池电流: 放电   1.73 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:22] PACK 总电压:  44.30 V | 电池电流: 放电   1.81 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:27] PACK 总电压:  44.27 V | 电池电流: 放电   1.82 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:32] PACK 总电压:  44.30 V | 电池电流: 放电   1.82 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:37] PACK 总电压:  44.30 V | 电池电流: 放电   1.76 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:42] PACK 总电压:  44.26 V | 电池电流: 放电   2.07 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:47] PACK 总电压:  44.22 V | 电池电流: 放电   1.85 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:52] PACK 总电压:  44.25 V | 电池电流: 放电   1.90 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:51:57] PACK 总电压:  44.26 V | 电池电流: 放电   1.77 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:02] PACK 总电压:  44.23 V | 电池电流: 放电   1.81 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:07] PACK 总电压:  44.21 V | 电池电流: 放电   1.79 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:13] PACK 总电压:  44.21 V | 电池电流: 放电   1.84 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:18] PACK 总电压:  44.16 V | 电池电流: 放电   1.85 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:23] PACK 总电压:  44.17 V | 电池电流: 放电   1.77 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:28] PACK 总电压:  44.13 V | 电池电流: 放电   1.95 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:33] PACK 总电压:  44.15 V | 电池电流: 放电   1.85 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:38] PACK 总电压:  44.12 V | 电池电流: 放电   1.89 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:43] PACK 总电压:  44.16 V | 电池电流: 放电   1.72 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:48] PACK 总电压:  44.11 V | 电池电流: 放电   1.81 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:53] PACK 总电压:  44.08 V | 电池电流: 放电   2.05 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:52:58] PACK 总电压:  44.11 V | 电池电流: 放电   1.82 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
